Easting,Northing,Description
238.11,204.55,ceramics
238.12,205.21,stone tool
238.96,205.12,ceramics
240.48,205.8,ceramics
240.07,206.27,ceramics
239.4,206.5,ceramics
240.19,207.02,ceramics
240.86,208.06,ceramics
241.37,208.33,ceramics
241.08,208.41,ceramics
241.74,207.27,ceramics
242.18,207.95,ceramics
243.82,210.71,ceramics
243.9,210.92,ceramics
243.87,211.03,ceramics
240.5,209.32,ceramics
240.37,209.72,stone tool
244.88,215.86,ceramics
248.43,219.58,ceramics
247.39,211.66,stone tool
219.56,192.45,stone tool
229.95,225.35,ceramics
232.61,221,ceramics
236.17,190.92,ceramics
236.01,180.13,ceramics
249.59,174.41,ceramics
229.01,190.51,ceramics
223.54,173.92,ceramics
205.9,182.38,stone tool
219.72,181.57,ceramics
216.06,188.86,ceramics
215.35,187.26,ceramics
216.29,188.43,ceramics
232.04,181.86,ceramics
230.74,178.73,stone tool
232.7,177.12,ceramics
240.99,215.31,ceramics
241.59,215.16,ceramics
240.75,213.79,ceramics
240.02,214.38,ceramics
239.53,214.04,stone tool
239.91,213.52,ceramics
239.59,213.21,ceramics
237.91,212.93,ceramics
239.22,212.24,ceramics
239.09,212.33,ceramics
239.73,212.02,ceramics
240.43,215.41,stone tool
240.27,215.36,stone tool
235.66,218.28,stone tool
235.94,218.51,ceramics
236.27,218.59,ceramics
236.71,218.09,stone tool
238.39,217.54,ceramics
238.31,217.46,ceramics
238.13,216.65,ceramics
238.14,216.59,ceramics
237.86,215.27,ceramics
237.91,215.64,ceramics
237.65,224.52,ceramics
235.47,217.84,ceramics
235.93,218.51,ceramics
235.19,219.55,ceramics
235.19,219.55,ceramics
234.74,220.54,ceramics
234.7,219.96,ceramics
234.12,219.95,ceramics
234.35,221.28,ceramics
234.7,219.96,ceramics
235.08,221.77,ceramics
235.32,221.88,ceramics
236.48,221.99,ceramics
232.74,223.48,ceramics
232.51,226.3,ceramics
219.85,186.13,ceramics
223.44,184.65,ceramics
218.55,184.55,ceramics
221.29,181.6,ceramics
221.67,180.45,ceramics
219.88,184.7,ceramics
219.88,184.7,ceramics
238.28,193.57,ceramics
219.8,185.9,ceramics
223.71,182.52,ceramics
242.73,201.34,ceramics
220.4,183.1,ceramics
221.79,184.12,ceramics
244.42,188.92,ceramics
238.39,194.21,stone tool
206.36,182.25,ceramics
206.36,182.25,ceramics
234.53,231.18,ceramics
236.54,213.15,ceramics
235.84,213.92,ceramics
235.78,215.59,ceramics
235.62,214,ceramics
236.58,214.68,stone tool
258.19,202.96,stone tool
220.79,186.19,bead
235.05,214.24,ceramics
235.05,214.22,ceramics
235.03,214.68,ceramics
236.04,214.21,ceramics
219.91,185.87,ceramics
236.62,191.45,ceramics
243.32,206.6,ceramics
242.41,221.94,groundstone
243.61,192.85,ceramics
234.78,193.4,ceramics
244.01,204.42,ceramics
240.42,186.14,ceramics
249.46,207.15,stone tool
240.64,194.13,ceramics
